d,n_samples,trial_id,seed,algorithm,mec_match,shd,cpdag_shd,n_edges_true,n_edges_est,runtime_sec,actual_steps,mask_keep_ratio,mask_total_offdiag,mask_tau,mask_n_screens,mask_allowed_count,mask_zero_count,mask_zero_ratio,mask_corr_zero_count,mask_corr_allowed_count,mask_corr_zero_ratio,mask_corr_keep_ratio,mask_pcorr_zero_count,mask_pcorr_allowed_count,mask_pcorr_zero_ratio,mask_pcorr_keep_ratio,mask_glasso_zero_count,mask_glasso_allowed_count,mask_glasso_zero_ratio,mask_glasso_keep_ratio,mask_overlap_corr_pcorr_count,mask_overlap_corr_pcorr_union_count,mask_overlap_corr_pcorr_jaccard,mask_overlap_corr_pcorr_overlap_ratio,mask_overlap_all_count,mask_overlap_all_union_count,mask_overlap_all_jaccard
30,20000,5,433015235,wf_corr_tau0.2,0,8.0,19.0,24,18,13.630990199977532,34410,0.0896551724137931,870,0.2,1,78,792,0.9103448275862069,792.0,78.0,0.9103448275862069,0.0896551724137931,,,,,,,,,,,,,,,
30,20000,5,433015235,wf_pcorr_tau0.02,0,3.0,4.0,24,22,18.884919100091793,43710,0.09655172413793103,870,0.02,1,84,786,0.903448275862069,,,,,786.0,84.0,0.903448275862069,0.09655172413793103,,,,,,,,,,,
30,20000,5,433015235,wf_pcorr_tau0.05,0,1.0,1.0,24,23,19.56367920001503,43710,0.09425287356321839,870,0.05,1,82,788,0.9057471264367816,,,,,788.0,82.0,0.9057471264367816,0.09425287356321839,,,,,,,,,,,
30,20000,5,433015235,wf_pcorr_tau0.1,0,3.0,4.0,24,22,24.30288400000427,53940,0.0896551724137931,870,0.1,1,78,792,0.9103448275862069,,,,,792.0,78.0,0.9103448275862069,0.0896551724137931,,,,,,,,,,,
30,20000,5,433015235,wf_pcorr_tau0.2,0,4.0,8.0,24,20,21.88301190000493,50220,0.08505747126436781,870,0.2,1,74,796,0.9149425287356322,,,,,796.0,74.0,0.9149425287356322,0.08505747126436781,,,,,,,,,,,
30,20000,5,433015235,wf_glasso_tau0.02,0,4.0,4.0,24,22,18.733152499888092,39060,0.10804597701149425,870,0.02,1,94,776,0.8919540229885058,,,,,,,,,776.0,94.0,0.8919540229885058,0.10804597701149425,,,,,,,
30,20000,5,433015235,wf_glasso_tau0.05,0,3.0,4.0,24,22,18.82424819993321,39060,0.09425287356321839,870,0.05,1,82,788,0.9057471264367816,,,,,,,,,788.0,82.0,0.9057471264367816,0.09425287356321839,,,,,,,
30,20000,5,433015235,wf_glasso_tau0.1,0,19.0,45.0,24,22,18.63076609990094,33945,0.08505747126436781,870,0.1,1,74,796,0.9149425287356322,,,,,,,,,796.0,74.0,0.9149425287356322,0.08505747126436781,,,,,,,
30,20000,5,433015235,wf_glasso_tau0.2,0,8.0,13.0,24,19,25.951477300026454,54405,0.06666666666666667,870,0.2,1,58,812,0.9333333333333333,,,,,,,,,812.0,58.0,0.9333333333333333,0.06666666666666667,,,,,,,
30,20000,5,433015235,wf_corr+pcorr_tau0.02,0,8.0,20.0,24,21,22.680767000070773,53940,0.2045977011494253,870,0.02,2,178,692,0.7954022988505747,728.0,142.0,0.8367816091954023,0.1632183908045977,786.0,84.0,0.903448275862069,0.09655172413793103,,,,,692.0,822.0,0.8418491484184915,0.9505494505494505,692.0,822.0,0.8418491484184915
30,20000,5,433015235,wf_corr+pcorr_tau0.05,0,1.0,1.0,24,23,23.3626955000218,55335,0.19770114942528735,870,0.05,2,172,698,0.8022988505747126,732.0,138.0,0.8413793103448276,0.15862068965517243,788.0,82.0,0.9057471264367816,0.09425287356321839,,,,,698.0,822.0,0.8491484184914841,0.953551912568306,698.0,822.0,0.8491484184914841
