d,n_samples,trial_id,seed,algorithm,mec_match,shd,cpdag_shd,n_edges_true,n_edges_est,runtime_sec,actual_steps,mask_keep_ratio
30,20000,8,94177347,wf_corr+pcorr_tau0.05,0,25.0,75.0,30,36,4.9962770999991335,16740,0.26666666666666666
30,20000,8,94177347,wf_corr+pcorr_tau0.1,0,18.0,31.0,30,35,6.245078700012527,22785,0.24367816091954023
30,20000,8,94177347,wf_corr+pcorr_tau0.2,0,16.0,43.0,30,30,5.939486799994484,21390,0.2
30,20000,9,526478978,baseline,0,15.0,20.0,29,28,6.599725499982014,20925,1.0
30,20000,9,526478978,wf_corr_tau0.02,0,20.0,31.0,29,31,5.549593799980357,20460,0.15172413793103448
30,20000,9,526478978,wf_corr_tau0.05,0,16.0,21.0,29,29,4.513248899951577,16740,0.14942528735632185
30,20000,9,526478978,wf_corr_tau0.1,0,12.0,16.0,29,27,5.363602700002957,19995,0.14482758620689656
30,20000,9,526478978,wf_corr_tau0.2,0,10.0,22.0,29,29,5.84255529998336,19065,0.12873563218390804
30,20000,9,526478978,wf_pcorr_tau0.02,0,6.0,5.0,29,31,4.584955600032117,15345,0.10344827586206896
30,20000,9,526478978,wf_pcorr_tau0.05,0,10.0,10.0,29,29,5.722383600019384,18600,0.10114942528735632
30,20000,9,526478978,wf_pcorr_tau0.1,0,3.0,3.0,29,28,7.249801199999638,23250,0.09655172413793103
30,20000,9,526478978,wf_pcorr_tau0.2,0,10.0,12.0,29,28,5.933601500000805,19530,0.0896551724137931
30,20000,9,526478978,wf_glasso_tau0.02,0,19.0,36.0,29,32,6.722445100022014,22320,0.12643678160919541
30,20000,9,526478978,wf_glasso_tau0.05,0,9.0,9.0,29,29,5.308335600013379,17670,0.09885057471264368
30,20000,9,526478978,wf_glasso_tau0.1,0,8.0,9.0,29,29,5.5283635999658145,17205,0.09425287356321839
30,20000,9,526478978,wf_glasso_tau0.2,0,3.0,4.0,29,27,6.405512599973008,19995,0.08735632183908046
30,20000,9,526478978,wf_corr+pcorr_tau0.02,0,29.0,47.0,29,37,5.634775299986359,19530,0.18620689655172415
30,20000,9,526478978,wf_corr+pcorr_tau0.05,0,16.0,22.0,29,30,7.141041500028223,23715,0.18160919540229886
30,20000,9,526478978,wf_corr+pcorr_tau0.1,0,25.0,43.0,29,35,6.326503899996169,21390,0.17471264367816092
30,20000,9,526478978,wf_corr+pcorr_tau0.2,0,15.0,28.0,29,31,6.103622500027996,20925,0.15862068965517243
30,20000,10,975622351,baseline,0,30.0,51.0,33,42,7.627107199979946,23715,1.0
30,20000,10,975622351,wf_corr_tau0.02,0,25.0,39.0,33,41,6.569126699992921,23715,0.37701149425287356
30,20000,10,975622351,wf_corr_tau0.05,0,28.0,50.0,33,39,9.344453199999407,33945,0.3724137931034483
30,20000,10,975622351,wf_corr_tau0.1,0,19.0,34.0,33,36,9.448253599985037,33480,0.3563218390804598
30,20000,10,975622351,wf_corr_tau0.2,0,25.0,42.0,33,38,12.35990209999727,43245,0.3080459770114943
30,20000,10,975622351,wf_pcorr_tau0.02,0,8.0,5.0,33,33,11.505670699989423,36735,0.11494252873563218
30,20000,10,975622351,wf_pcorr_tau0.05,0,4.0,3.0,33,34,11.377178500057198,37665,0.1103448275862069
30,20000,10,975622351,wf_pcorr_tau0.1,0,4.0,3.0,33,34,11.285543000034522,37665,0.1103448275862069
30,20000,10,975622351,wf_pcorr_tau0.2,0,11.0,13.0,33,31,13.780243499961216,44640,0.09425287356321839
30,20000,10,975622351,wf_glasso_tau0.02,0,10.0,15.0,33,37,10.989244600001257,36270,0.1724137931034483
30,20000,10,975622351,wf_glasso_tau0.05,0,6.0,10.0,33,34,9.475727099983487,32085,0.12873563218390804
30,20000,10,975622351,wf_glasso_tau0.1,0,9.0,20.0,33,35,9.72727890004171,32085,0.10804597701149425
30,20000,10,975622351,wf_glasso_tau0.2,0,10.0,16.0,33,26,6.928772100014612,21855,0.0735632183908046
30,20000,10,975622351,wf_corr+pcorr_tau0.02,0,33.0,54.0,33,42,9.899876400013454,34875,0.4
30,20000,10,975622351,wf_corr+pcorr_tau0.05,0,16.0,20.0,33,35,8.877091799979098,31155,0.3931034482758621
30,20000,10,975622351,wf_corr+pcorr_tau0.1,0,34.0,80.0,33,46,8.668885399994906,30690,0.3793103448275862
30,20000,10,975622351,wf_corr+pcorr_tau0.2,0,26.0,32.0,33,40,10.069648800010327,35340,0.3264367816091954
