mec_match,exact_match,cpdag_shd,n_edges_true,n_edges_est,trial,seed,algorithm,objective,runtime_sec,epochs_used
0,0,1.0,5,4,25,402414364,cd_A_l0_0.2,10.283116905931703,4.209038999979384,476.0
0,0,5.0,5,3,25,402414364,cd_B_l0_0.2,13.195917721118388,1.0949395999778062,149.0
0,0,5.0,5,3,25,402414364,cd_BOmega_l0_0.2,9.09795886055857,1.2672464000061154,149.0
0,0,5.0,5,5,25,402414364,golem_nv,,30.229670199973043,
0,0,5.0,5,5,25,402414364,sp,,0.030396899965126067,
0,0,0.0,5,7,25,402414364,ges,,0.262606100004632,
0,0,2.0,7,9,26,822761613,cd_A_l0_0.0,11.999041126847459,5.927994800033048,470.0
0,0,3.0,7,6,26,822761613,cd_B_l0_0.0,5.071229958913813,5.391489999950863,500.0
0,0,3.0,7,6,26,822761613,cd_BOmega_l0_0.0,5.047620841798946,5.098348600033205,451.0
0,0,4.0,7,4,26,822761613,cd_A_l0_0.1,13.927948926553217,4.875038400001358,362.0
0,0,5.0,7,3,26,822761613,cd_B_l0_0.1,6.052960211372316,1.5012340000248514,149.0
0,0,5.0,7,3,26,822761613,cd_BOmega_l0_0.1,5.526480105687684,1.4316409000311978,149.0
0,0,5.0,7,3,26,822761613,cd_A_l0_0.2,14.30237533646776,4.800391099997796,359.0
0,0,5.0,7,3,26,822761613,cd_B_l0_0.2,6.052960211372316,1.4167177000199445,149.0
0,0,5.0,7,3,26,822761613,cd_BOmega_l0_0.2,5.526480105687684,1.6208957000053488,149.0
0,0,1.0,7,8,26,822761613,golem_ev,,38.005506000015885,
0,0,5.0,7,6,26,822761613,golem_nv,,31.64615370001411,
0,0,3.0,7,6,26,822761613,sp,,0.02988529996946454,
0,0,8.0,7,9,26,822761613,ges,,0.25879320001695305,
0,0,2.0,3,4,27,545429118,cd_A_l0_0.0,8.432242564301152,1.3188934999634512,149.0
0,0,2.0,3,3,27,545429118,cd_B_l0_0.2,4.016672740995128,1.7100652999943122,149.0
0,0,2.0,3,5,27,545429118,golem_ev,,25.677886499965098,
0,0,4.0,3,4,27,545429118,golem_nv,,19.981993600027636,
0,0,3.0,3,3,27,545429118,sp,,0.019863000023178756,
1,0,0.0,3,4,27,545429118,ges,,0.07423719996586442,
0,0,3.0,2,4,28,443414198,cd_B_l0_0.0,4.9854344392067,1.6962233999511227,149.0
0,0,2.0,2,5,28,443414198,golem_ev,,40.744998099980876,
1,0,0.0,2,2,28,443414198,golem_nv,,33.334834299981594,
1,0,0.0,2,4,28,443414198,ges,,0.06070159998489544,
0,0,2.0,3,4,29,450459553,cd_A_l0_0.0,9.288983223267225,1.3577724000206217,149.0
0,0,3.0,3,5,29,450459553,cd_B_l0_0.0,4.288024974602283,0.9738046999555081,149.0
0,0,2.0,3,4,29,450459553,cd_BOmega_l0_0.0,4.644005353255212,1.4563681000145152,149.0
0,0,4.0,3,4,29,450459553,golem_nv,,30.454314599977806,
1,0,0.0,3,4,29,450459553,ges,,0.07531919999746606,
0,0,2.0,6,7,30,227238721,cd_B_l0_0.0,5.279231065065242,3.513027200009674,500.0
0,0,2.0,6,7,30,227238721,cd_BOmega_l0_0.0,5.1396155325319235,3.9459330999525264,500.0
0,0,2.0,6,5,30,227238721,cd_A_l0_0.1,10.465182331649498,5.1983929999987595,496.0
0,0,3.0,6,5,30,227238721,cd_B_l0_0.1,10.154991841599337,1.2346200000029057,149.0
0,0,3.0,6,5,30,227238721,cd_BOmega_l0_0.1,7.5774959207991355,1.2363683000439778,149.0
0,0,2.0,6,5,30,227238721,cd_A_l0_0.2,10.464934117814401,5.129844699986279,488.0
0,0,3.0,6,5,30,227238721,cd_B_l0_0.2,10.154991841599337,1.2142914999858476,149.0
0,0,3.0,6,5,30,227238721,cd_BOmega_l0_0.2,7.5774959207991355,1.324944099993445,149.0
0,0,2.0,6,7,30,227238721,golem_ev,,34.89729739999166,
0,0,9.0,6,8,30,227238721,golem_nv,,28.46973699994851,
0,0,4.0,6,5,30,227238721,sp,,0.027953099983278662,
1,0,0.0,6,8,30,227238721,ges,,0.12327909999294207,
0,0,3.0,5,8,31,92135914,cd_A_l0_0.0,9.246771590128642,4.474920100008603,500.0
0,0,5.0,5,9,31,92135914,cd_B_l0_0.0,3.9257343047584916,3.7085473999613896,500.0
